n,input,hls_output,golden,err
0,1,-0.000518815,-0.000507,1.18146e-05
1,0,0.00061037,0.000606,4.37017e-06
2,0,0.00222785,0.002235,7.14883e-06
3,0,0.00412,0.004132,1.2001e-05
4,0,0.00500504,0.00499,1.50357e-05
5,0,0.00277718,0.002776,1.18441e-06
6,0,-0.00393689,-0.003933,3.88781e-06
7,0,-0.0142216,-0.014234,1.23745e-05
8,0,-0.0238655,-0.02388,1.45249e-05
9,0,-0.0259407,-0.025932,8.73394e-06
10,0,-0.0132756,-0.013265,1.05519e-05
11,0,0.0179449,0.017938,6.88434e-06
12,0,0.0653401,0.065338,2.12342e-06
13,0,0.119816,0.119829,1.33291e-05
14,0,0.167852,0.167867,1.51992e-05
15,0,0.196051,0.196041,9.89437e-06
16,0,0.196051,0.196041,9.89437e-06
17,0,0.167852,0.167867,1.51992e-05
18,0,0.119816,0.119829,1.33291e-05
19,0,0.0653401,0.065338,2.12342e-06
20,0,0.0179449,0.017938,6.88434e-06
21,0,-0.0132756,-0.013265,1.05519e-05
22,0,-0.0259407,-0.025932,8.73394e-06
23,0,-0.0238655,-0.02388,1.45249e-05
24,0,-0.0142216,-0.014234,1.23745e-05
25,0,-0.00393689,-0.003933,3.88781e-06
26,0,0.00277718,0.002776,1.18441e-06
27,0,0.00500504,0.00499,1.50357e-05
28,0,0.00412,0.004132,1.2001e-05
29,0,0.00222785,0.002235,7.14883e-06
30,0,0.00061037,0.000606,4.37017e-06
31,0,-0.000518815,-0.000507,1.18146e-05
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
