n,input,hls_output,golden,err
0,0,0,0,0
1,0.309017,-0.00016033,-0.000156672,3.65789e-06
2,0.587785,-0.000116329,-0.000110743,5.58647e-06
3,0.809017,0.000627512,0.000636679,9.16701e-06
4,0.951057,0.00258309,0.00259864,1.55501e-05
5,1,0.00583243,0.00584822,1.57868e-05
6,0.951056,0.00936901,0.00938316,1.41487e-05
7,0.809017,0.0107719,0.0107843,1.24024e-05
8,0.587785,0.00672549,0.00673116,5.67455e-06
9,0.309017,-0.00535405,-0.00536015,6.10156e-06
10,-8.74228e-08,-0.0249255,-0.0249402,1.47168e-05
11,-0.309017,-0.0461592,-0.046178,1.88798e-05
12,-0.587785,-0.0573289,-0.0573525,2.35848e-05
13,-0.809017,-0.0426955,-0.0427224,2.68519e-05
14,-0.951056,0.0131424,0.013119,2.33995e-05
15,-1,0.119563,0.11955,1.28075e-05
16,-0.951056,0.274862,0.274858,3.66569e-06
17,-0.809017,0.463839,0.463842,3.09944e-06
18,-0.587785,0.659281,0.659295,1.44839e-05
19,-0.309017,0.827212,0.827241,2.85506e-05
20,1.74846e-07,0.934362,0.934401,3.89218e-05
21,0.309017,0.955596,0.955639,4.29749e-05
22,0.587785,0.879187,0.879233,4.59552e-05
23,0.809017,0.708702,0.708748,4.68493e-05
24,0.951057,0.461468,0.461507,3.87728e-05
25,1,0.164668,0.164692,2.32011e-05
26,0.951056,-0.149467,-0.14946,6.54161e-06
27,0.809017,-0.448113,-0.448124,1.09971e-05
28,0.587785,-0.701349,-0.701381,3.22461e-05
29,0.309017,-0.884658,-0.884704,4.6432e-05
30,-2.38498e-08,-0.980682,-0.980736,5.41806e-05
31,-0.309017,-0.980522,-0.980579,5.76973e-05
32,-0.587785,-0.884541,-0.884593,5.19156e-05
33,-0.809017,-0.701976,-0.702017,4.11272e-05
34,-0.951057,-0.450696,-0.450723,2.63453e-05
35,-1,-0.155299,-0.155308,8.9556e-06
36,-0.951056,0.155299,0.155309,9.28342e-06
37,-0.809017,0.450696,0.450723,2.66135e-05
38,-0.587785,0.701976,0.702017,4.14252e-05
39,-0.309017,0.884541,0.884593,5.19753e-05
40,3.49691e-07,0.980522,0.980579,5.78165e-05
41,0.309017,0.980522,0.980579,5.76973e-05
42,0.587786,0.884541,0.884593,5.20349e-05
43,0.809017,0.701976,0.702017,4.1306e-05
44,0.951056,0.450696,0.450723,2.64645e-05
45,1,0.155299,0.155308,9.0301e-06
