INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
make: 'csim.exe' is up to date.
========================================
  FIR Filter - HLS vs Golden Behavior
  32 taps, low-pass, cutoff ~0.1*Fs
========================================

=== Test 1: Impulse Response ===
  n=0 | hls=-0.000518815 | golden=-0.000507 | err=1.18146e-05 PASS
  n=1 | hls=0.00061037 | golden=0.000606 | err=4.37017e-06 PASS
  n=2 | hls=0.00222785 | golden=0.002235 | err=7.14883e-06 PASS
  n=3 | hls=0.00412 | golden=0.004132 | err=1.2001e-05 PASS
  n=4 | hls=0.00500504 | golden=0.00499 | err=1.50357e-05 PASS
  n=5 | hls=0.00277718 | golden=0.002776 | err=1.18441e-06 PASS
  n=6 | hls=-0.00393689 | golden=-0.003933 | err=3.88781e-06 PASS
  n=7 | hls=-0.0142216 | golden=-0.014234 | err=1.23745e-05 PASS
  n=8 | hls=-0.0238655 | golden=-0.02388 | err=1.45249e-05 PASS
  n=9 | hls=-0.0259407 | golden=-0.025932 | err=8.73394e-06 PASS
  n=10 | hls=-0.0132756 | golden=-0.013265 | err=1.05519e-05 PASS
  n=11 | hls=0.0179449 | golden=0.017938 | err=6.88434e-06 PASS
  n=12 | hls=0.0653401 | golden=0.065338 | err=2.12342e-06 PASS
  n=13 | hls=0.119816 | golden=0.119829 | err=1.33291e-05 PASS
  n=14 | hls=0.167852 | golden=0.167867 | err=1.51992e-05 PASS
  n=15 | hls=0.196051 | golden=0.196041 | err=9.89437e-06 PASS
  n=16 | hls=0.196051 | golden=0.196041 | err=9.89437e-06 PASS
  n=17 | hls=0.167852 | golden=0.167867 | err=1.51992e-05 PASS
  n=18 | hls=0.119816 | golden=0.119829 | err=1.33291e-05 PASS
  n=19 | hls=0.0653401 | golden=0.065338 | err=2.12342e-06 PASS
  n=20 | hls=0.0179449 | golden=0.017938 | err=6.88434e-06 PASS
  n=21 | hls=-0.0132756 | golden=-0.013265 | err=1.05519e-05 PASS
  n=22 | hls=-0.0259407 | golden=-0.025932 | err=8.73394e-06 PASS
  n=23 | hls=-0.0238655 | golden=-0.02388 | err=1.45249e-05 PASS
  n=24 | hls=-0.0142216 | golden=-0.014234 | err=1.23745e-05 PASS
  n=25 | hls=-0.00393689 | golden=-0.003933 | err=3.88781e-06 PASS
  n=26 | hls=0.00277718 | golden=0.002776 | err=1.18441e-06 PASS
  n=27 | hls=0.00500504 | golden=0.00499 | err=1.50357e-05 PASS
  n=28 | hls=0.00412 | golden=0.004132 | err=1.2001e-05 PASS
  n=29 | hls=0.00222785 | golden=0.002235 | err=7.14883e-06 PASS
  n=30 | hls=0.00061037 | golden=0.000606 | err=4.37017e-06 PASS
  n=31 | hls=-0.000518815 | golden=-0.000507 | err=1.18146e-05 PASS
  n=32 | hls=0 | golden=0 | err=0 PASS
  n=33 | hls=0 | golden=0 | err=0 PASS
  n=34 | hls=0 | golden=0 | err=0 PASS
  n=35 | hls=0 | golden=0 | err=0 PASS
  n=36 | hls=0 | golden=0 | err=0 PASS
  n=37 | hls=0 | golden=0 | err=0 PASS
  n=38 | hls=0 | golden=0 | err=0 PASS
  n=39 | hls=0 | golden=0 | err=0 PASS
  n=40 | hls=0 | golden=0 | err=0 PASS
  n=41 | hls=0 | golden=0 | err=0 PASS
  n=42 | hls=0 | golden=0 | err=0 PASS
  n=43 | hls=0 | golden=0 | err=0 PASS
  n=44 | hls=0 | golden=0 | err=0 PASS
  n=45 | hls=0 | golden=0 | err=0 PASS
  n=46 | hls=0 | golden=0 | err=0 PASS
  n=47 | hls=0 | golden=0 | err=0 PASS
  n=48 | hls=0 | golden=0 | err=0 PASS
  n=49 | hls=0 | golden=0 | err=0 PASS
  n=50 | hls=0 | golden=0 | err=0 PASS
  n=51 | hls=0 | golden=0 | err=0 PASS
  n=52 | hls=0 | golden=0 | err=0 PASS
  n=53 | hls=0 | golden=0 | err=0 PASS
  n=54 | hls=0 | golden=0 | err=0 PASS
  n=55 | hls=0 | golden=0 | err=0 PASS
  n=56 | hls=0 | golden=0 | err=0 PASS
  n=57 | hls=0 | golden=0 | err=0 PASS
  n=58 | hls=0 | golden=0 | err=0 PASS
  n=59 | hls=0 | golden=0 | err=0 PASS
  n=60 | hls=0 | golden=0 | err=0 PASS
  n=61 | hls=0 | golden=0 | err=0 PASS
  n=62 | hls=0 | golden=0 | err=0 PASS
  n=63 | hls=0 | golden=0 | err=0 PASS
  Impulse Response: PASSED

=== Test 2: Passband Sine (freq = 0.05 * Fs) ===
  n=28 | x=0.587785 | hls=-0.701349 | golden=-0.701381 | err=3.22461e-05
  n=29 | x=0.309017 | hls=-0.884658 | golden=-0.884704 | err=4.6432e-05
  n=30 | x=-2.38498e-08 | hls=-0.980682 | golden=-0.980736 | err=5.41806e-05
  n=31 | x=-0.309017 | hls=-0.980522 | golden=-0.980579 | err=5.76973e-05
  n=32 | x=-0.587785 | hls=-0.884541 | golden=-0.884593 | err=5.19156e-05
  n=33 | x=-0.809017 | hls=-0.701976 | golden=-0.702017 | err=4.11272e-05
  n=34 | x=-0.951057 | hls=-0.450696 | golden=-0.450723 | err=2.63453e-05
  n=35 | x=-1 | hls=-0.155299 | golden=-0.155308 | err=8.9556e-06
  n=36 | x=-0.951056 | hls=0.155299 | golden=0.155309 | err=9.28342e-06
  n=37 | x=-0.809017 | hls=0.450696 | golden=0.450723 | err=2.66135e-05
  n=38 | x=-0.587785 | hls=0.701976 | golden=0.702017 | err=4.14252e-05
  n=39 | x=-0.309017 | hls=0.884541 | golden=0.884593 | err=5.19753e-05
  n=40 | x=3.49691e-07 | hls=0.980522 | golden=0.980579 | err=5.78165e-05
  n=41 | x=0.309017 | hls=0.980522 | golden=0.980579 | err=5.76973e-05
  n=42 | x=0.587786 | hls=0.884541 | golden=0.884593 | err=5.20349e-05
  n=43 | x=0.809017 | hls=0.701976 | golden=0.702017 | err=4.1306e-05
  n=44 | x=0.951056 | hls=0.450696 | golden=0.450723 | err=2.64645e-05
  n=45 | x=1 | hls=0.155299 | golden=0.155308 | err=9.0301e-06
  n=46 | x=0.951056 | hls=-0.155299 | golden=-0.155309 | err=9.23872e-06
  n=47 | x=0.809017 | hls=-0.450696 | golden=-0.450723 | err=2.66135e-05
  n=48 | x=0.587785 | hls=-0.701976 | golden=-0.702018 | err=4.14848e-05
  n=49 | x=0.309016 | hls=-0.884541 | golden=-0.884594 | err=5.22137e-05
  n=50 | x=-6.75532e-07 | hls=-0.980522 | golden=-0.980579 | err=5.78761e-05
  n=51 | x=-0.309018 | hls=-0.980522 | golden=-0.980579 | err=5.77569e-05
  n=52 | x=-0.587786 | hls=-0.884541 | golden=-0.884593 | err=5.20349e-05
  n=53 | x=-0.809018 | hls=-0.701976 | golden=-0.702017 | err=4.11272e-05
  n=54 | x=-0.951057 | hls=-0.450696 | golden=-0.450723 | err=2.61962e-05
  n=55 | x=-1 | hls=-0.155299 | golden=-0.155308 | err=8.83639e-06
  n=56 | x=-0.951057 | hls=0.155299 | golden=0.155309 | err=9.47714e-06
  n=57 | x=-0.809017 | hls=0.450696 | golden=0.450723 | err=2.69115e-05
  n=58 | x=-0.587785 | hls=0.701976 | golden=0.702018 | err=4.1604e-05
  n=59 | x=-0.309017 | hls=0.884541 | golden=0.884594 | err=5.22733e-05
  n=60 | x=4.76995e-08 | hls=0.980522 | golden=0.98058 | err=5.80549e-05
  n=61 | x=0.309017 | hls=0.980522 | golden=0.980579 | err=5.77569e-05
  n=62 | x=0.587785 | hls=0.884541 | golden=0.884593 | err=5.19156e-05
  n=63 | x=0.809017 | hls=0.701976 | golden=0.702017 | err=4.09484e-05
  n=64 | x=0.951057 | hls=0.450696 | golden=0.450722 | err=2.60472e-05
  n=65 | x=1 | hls=0.155299 | golden=0.155308 | err=8.52346e-06
  n=66 | x=0.951056 | hls=-0.155299 | golden=-0.155309 | err=9.76026e-06
  n=67 | x=0.809016 | hls=-0.450696 | golden=-0.450724 | err=2.71499e-05
  n=68 | x=0.587784 | hls=-0.701976 | golden=-0.702018 | err=4.17829e-05
  n=69 | x=0.309016 | hls=-0.884541 | golden=-0.884594 | err=5.25713e-05
  n=70 | x=-1.32722e-06 | hls=-0.980522 | golden=-0.98058 | err=5.81145e-05
  n=71 | x=-0.309018 | hls=-0.980522 | golden=-0.98058 | err=5.79953e-05
  n=72 | x=-0.587787 | hls=-0.884541 | golden=-0.884594 | err=5.22733e-05
  n=73 | x=-0.809017 | hls=-0.701976 | golden=-0.702017 | err=4.14252e-05
  n=74 | x=-0.951056 | hls=-0.450696 | golden=-0.450723 | err=2.65837e-05
  n=75 | x=-1 | hls=-0.155299 | golden=-0.155308 | err=9.05991e-06
  n=76 | x=-0.951056 | hls=0.155299 | golden=0.155309 | err=9.28342e-06
  n=77 | x=-0.809017 | hls=0.450696 | golden=0.450723 | err=2.67625e-05
  n=78 | x=-0.587785 | hls=0.701976 | golden=0.702018 | err=4.15444e-05
  n=79 | x=-0.309016 | hls=0.884541 | golden=0.884594 | err=5.22137e-05
  n=80 | x=6.99382e-07 | hls=0.980522 | golden=0.980579 | err=5.78165e-05
  n=81 | x=0.309018 | hls=0.980522 | golden=0.980579 | err=5.75185e-05
