n,input,hls_output,golden,err
0,0,0,0,0
1,0.587785,-0.000304952,-0.000298007,6.94516e-06
2,-0.951056,0.000852185,0.000838383,1.38017e-05
3,0.951057,0.000235591,0.000255174,1.95824e-05
4,-0.587785,0.00118833,0.00117746,1.08649e-05
5,3.49691e-07,0.000783601,0.000772696,1.0905e-05
6,0.587785,-0.000823774,-0.000796021,2.77529e-05
7,-0.951057,-0.00176475,-0.00179647,3.17156e-05
8,0.951057,-0.00468017,-0.00466377,1.6402e-05
9,-0.587787,-0.00469058,-0.0046937,3.12133e-06
10,6.99382e-07,-0.0029782,-0.0029841,5.90621e-06
11,0.587785,0.00170599,0.00172511,1.91212e-05
12,-0.951056,0.0107656,0.0107365,2.91141e-05
13,0.951057,0.0192813,0.0193076,2.62279e-05
14,-0.587785,0.0284635,0.0284569,6.5621e-06
15,9.5399e-08,0.0333262,0.0333179,8.25152e-06
16,0.587784,0.0328513,0.0328636,1.22413e-05
17,-0.951056,0.0287569,0.0287378,1.91927e-05
18,0.951057,0.0192813,0.0193076,2.62186e-05
19,-0.587786,0.0104721,0.0104557,1.64835e-05
20,1.39876e-06,0.00218085,0.00217941,1.43796e-06
21,0.587783,-0.00345306,-0.00343861,1.44478e-05
22,-0.951057,-0.00439711,-0.00441303,1.59247e-05
23,0.951057,-0.00468017,-0.00466393,1.62455e-05
24,-0.587787,-0.00205823,-0.00207739,1.91601e-05
25,2.70213e-06,-0.000348909,-0.00034165,7.25861e-06
26,0.587782,0.000308735,0.000318397,9.6618e-06
27,-0.951055,0.00148181,0.00145847,2.3337e-05
28,0.951056,0.000235591,0.000255444,1.98526e-05
29,-0.587785,0.000558708,0.000557887,8.20844e-07
30,1.90798e-07,0.000169913,0.000156746,1.31676e-05
31,0.587784,-0.000474866,-0.000454053,2.08131e-05
32,-0.951056,0.000293478,0.000281134,1.23438e-05
33,0.951058,0,2.28494e-07,2.28494e-07
34,-0.587789,-0.000293478,-0.000280701,1.27767e-05
35,5.30886e-06,0.000474866,0.000454406,2.04601e-05
36,0.58778,-0.000474866,-0.000454466,2.04002e-05
37,-0.951057,0.000293478,0.000280649,1.28287e-05
38,0.951057,0,-2.31434e-07,2.31434e-07
39,-0.587787,-0.000293478,-0.000281057,1.24208e-05
40,2.79753e-06,0.000474866,0.000454176,2.06899e-05
41,0.587782,-0.000474866,-0.000454504,2.03621e-05
42,-0.951055,0.000293478,0.000280773,1.2705e-05
43,0.951058,0,2.89001e-08,2.89001e-08
44,-0.587785,-0.000293478,-0.000280713,1.27649e-05
45,2.86197e-07,0.000474866,0.000454523,2.03431e-05
46,0.587784,-0.000474866,-0.00045426,2.06055e-05
47,-0.951056,0.000293478,0.000280921,1.25563e-05
48,0.951058,0,-1.49303e-08,1.49303e-08
49,-0.587789,-0.000293478,-0.000281005,1.24729e-05
50,5.40426e-06,0.000474866,0.000454043,2.08231e-05
51,0.58778,-0.000474866,-0.000454873,1.99926e-05
52,-0.951054,0.000293478,0.000280263,1.32143e-05
53,0.951059,0,-5.18747e-07,5.18747e-07
54,-0.587793,-0.000293478,-0.000281201,1.22765e-05
55,1.05223e-05,0.000474866,0.000454246,2.06198e-05
56,0.587788,-0.000474866,-0.000454271,2.0595e-05
57,-0.951057,0.000293478,0.000281199,1.22787e-05
58,0.951056,0,5.44242e-07,5.44242e-07
59,-0.587785,-0.000293478,-0.000280245,1.32326e-05
60,3.81596e-07,0.000474866,0.000454902,1.99636e-05
61,0.587784,-0.000474866,-0.000454034,2.08313e-05
62,-0.951056,0.000293478,0.000280953,1.25243e-05
63,0.951058,0,-1.11904e-07,1.11904e-07
64,-0.587789,-0.000293478,-0.000281089,1.23886e-05
65,5.49966e-06,0.000474866,0.000454131,2.07344e-05
66,0.58778,-0.000474866,-0.000454487,2.03787e-05
67,-0.951054,0.000293478,0.000281077,1.24009e-05
68,0.951059,0,6.70057e-07,6.70057e-07
69,-0.587793,-0.000293478,-0.000279705,1.37725e-05
70,1.06177e-05,0.000474866,0.000455854,1.90118e-05
71,0.587776,-0.000474866,-0.000452814,2.20513e-05
72,-0.951053,0.000293478,0.000282303,1.11744e-05
73,0.951056,0,1.16034e-06,1.16034e-06
74,-0.587785,-0.000293478,-0.000280125,1.33522e-05
75,4.76995e-07,0.000474866,0.000454707,2.01591e-05
76,0.587784,-0.000474866,-0.000454397,2.04687e-05
77,-0.951056,0.000293478,0.000280649,1.2829e-05
78,0.951058,0,-1.86177e-07,1.86177e-07
79,-0.587789,-0.000293478,-0.000280951,1.25264e-05
80,5.59506e-06,0.000474866,0.000454341,2.05242e-05
81,0.58778,-0.000474866,-0.000454364,2.05013e-05
82,-0.951054,0.000293478,0.000280878,1.25997e-05
83,0.951059,0,5.61704e-09,5.61704e-09
84,-0.587793,-0.000293478,-0.000280853,1.2625e-05
85,1.07131e-05,0.000474866,0.000454334,2.05321e-05
86,0.587776,-0.000474866,-0.000454453,2.04124e-05
87,-0.951053,0.000293478,0.000280774,1.27034e-05
88,0.951056,0,-1.75205e-08,1.75205e-08
